Thursday,01/08/2024,0
Friday,02/08/2024,0
Saturday,03/08/2024,0
Sunday,04/08/2024,0
Monday,05/08/2024,0
Tuesday,06/08/2024,0
Wednesday,07/08/2024,0
Thursday,08/08/2024,0
Friday,09/08/2024,0
Saturday,10/08/2024,0
Sunday,11/08/2024,0
Monday,12/08/2024,0
Tuesday,13/08/2024,0
Wednesday,14/08/2024,0
Thursday,15/08/2024,0
Friday,16/08/2024,0
Saturday,17/08/2024,0
Sunday,18/08/2024,0
Monday,19/08/2024,1
Tuesday,20/08/2024,2
Wednesday,21/08/2024,3
Thursday,22/08/2024,4
Friday,23/08/2024,5
Saturday,24/08/2024,0
Sunday,25/08/2024,0
Monday,26/08/2024,0
Tuesday,27/08/2024,0
Wednesday,28/08/2024,0
Thursday,29/08/2024,0
Friday,30/08/2024,0
Saturday,31/08/2024,0
Sunday,01/09/2024,0
Monday,02/09/2024,6
Tuesday,03/09/2024,7
Wednesday,04/09/2024,8
Thursday,05/09/2024,9
Friday,06/09/2024,10
Saturday,07/09/2024,0
Sunday,08/09/2024,0
Monday,09/09/2024,1
Tuesday,10/09/2024,2
Wednesday,11/09/2024,3
Thursday,12/09/2024,4
Friday,13/09/2024,5
Saturday,14/09/2024,0
Sunday,15/09/2024,0
Monday,16/09/2024,6
Tuesday,17/09/2024,7
Wednesday,18/09/2024,8
Thursday,19/09/2024,9
Friday,20/09/2024,10
Saturday,21/09/2024,0
Sunday,22/09/2024,0
Monday,23/09/2024,1
Tuesday,24/09/2024,2
Wednesday,25/09/2024,3
Thursday,26/09/2024,4
Friday,27/09/2024,5
Saturday,28/09/2024,0
Sunday,29/09/2024,0
Monday,30/09/2024,6
Tuesday,01/10/2024,7
Wednesday,02/10/2024,8
Thursday,03/10/2024,9
Friday,04/10/2024,10
Saturday,05/10/2024,0
Sunday,06/10/2024,0
Monday,07/10/2024,1
Tuesday,08/10/2024,2
Wednesday,09/10/2024,3
Thursday,10/10/2024,4
Friday,11/10/2024,5
Saturday,12/10/2024,0
Sunday,13/10/2024,0
Monday,14/10/2024,6
Tuesday,15/10/2024,7
Wednesday,16/10/2024,8
Thursday,17/10/2024,9
Friday,18/10/2024,10
Saturday,19/10/2024,0
Sunday,20/10/2024,0
Monday,21/10/2024,0
Tuesday,22/10/2024,0
Wednesday,23/10/2024,0
Thursday,24/10/2024,0
Friday,25/10/2024,0
Saturday,26/10/2024,0
Sunday,27/10/2024,0
Monday,28/10/2024,0
Tuesday,29/10/2024,0
Wednesday,30/10/2024,0
Thursday,31/10/2024,0
Friday,01/11/2024,0
Saturday,02/11/2024,0
Sunday,03/11/2024,0
Monday,04/11/2024,1
Tuesday,05/11/2024,2
Wednesday,06/11/2024,3
Thursday,07/11/2024,4
Friday,08/11/2024,5
Saturday,09/11/2024,0
Sunday,10/11/2024,0
Monday,11/11/2024,6
Tuesday,12/11/2024,7
Wednesday,13/11/2024,8
Thursday,14/11/2024,9
Friday,15/11/2024,10
Saturday,16/11/2024,0
Sunday,17/11/2024,0
Monday,18/11/2024,1
Tuesday,19/11/2024,2
Wednesday,20/11/2024,3
Thursday,21/11/2024,0
Friday,22/11/2024,0
Saturday,23/11/2024,0
Sunday,24/11/2024,0
Monday,25/11/2024,6
Tuesday,26/11/2024,7
Wednesday,27/11/2024,8
Thursday,28/11/2024,9
Friday,29/11/2024,10
Saturday,30/11/2024,0
Sunday,01/12/2024,0
Monday,02/12/2024,1
Tuesday,03/12/2024,2
Wednesday,04/12/2024,3
Thursday,05/12/2024,4
Friday,06/12/2024,5
Saturday,07/12/2024,0
Sunday,08/12/2024,0
Monday,09/12/2024,6
Tuesday,10/12/2024,7
Wednesday,11/12/2024,8
Thursday,12/12/2024,9
Friday,13/12/2024,10
Saturday,14/12/2024,0
Sunday,15/12/2024,0
Monday,16/12/2024,0
Tuesday,17/12/2024,0
